ID,SPECIES,hw,hl,ml,el1,el2,wl
CASENT0318457,Monomorium ebeninum,0.354,0.472,0.187,0.095,0.092,0.53
CASENT0729633,Monomorium ebeninum,0.352,0.469,0.196,0.083,0.075,0.546
CASENT0908696,Monomorium ebeninum,0.397,0.513,0.225,0.079,0.093,0.617
FMNHINS0000088660,Monomorium ebeninum,0.38,0.488,0.212,0.083,,0.565
CASENT0125221,Monomorium floricola,0.309,0.384,0.153,0.061,0.063,0.461
CASENT0064821,Monomorium floricola,0.315,0.4,0.163,0.069,0.061,0.482
CASENT0060702,Monomorium floricola,0.333,0.417,0.153,0.068,0.055,0.43
CASENT0053986,Monomorium floricola,0.337,0.403,0.163,0.059,0.065,0.437
CASENT0010954,Monomorium floricola,0.305,0.384,0.155,0.067,0.078,0.443
CASENT0104789,Monomorium minimum,0.468,0.591,0.267,0.121,0.103,0.635
CASENT0104790,Monomorium minimum,,0.555,0.243,,0.092,0.637
CASENT0173040,Monomorium minimum,0.416,0.514,0.233,0.107,0.099,0.514
FMNHINS0000083019,Monomorium minimum,0.379,0.467,0.199,0.101,0.11,0.527
CASENT0104126,Myrmelachista ramulorum,0.625,0.64,0.255,0.112,0.123,0.79
CASENT0912343,Myrmelachista ramulorum,0.459,0.519,,0.12,0.096,0.584
JTLC000005280,Myrmelachista ramulorum,0.514,0.558,0.223,,0.114,0.673
CASENT0651716,Myrmica fracticornis,0.848,0.973,0.499,0.195,0.219,1.396
CASENT0904076,Myrmica fracticornis,0.906,1.07,0.596,0.222,0.218,1.379
CASENT0922751,Myrmica fracticornis,0.869,0.943,0.547,,0.202,1.368
ANTWEB1038042,Myrmica incompleta,1.042,1.18,0.505,0.221,0.186,1.38
CASENT0005703,Myrmica incompleta,1.08,1.272,0.647,0.235,0.242,1.622
CASENT0179858,Myrmica incompleta,1.123,1.25,0.62,0.232,0.221,1.553
CASENT0904079,Myrmica incompleta,1.013,1.12,0.602,0.204,0.214,1.433
CASENT0904081,Myrmica incompleta,1.155,1.313,0.734,0.247,0.257,1.758
CASENT0104815,Myrmica latifrons,1.073,1.204,0.609,0.254,0.254,1.466
CASENT0173006,Myrmica latifrons,1.051,1.156,0.592,0.235,0.231,1.432
CASENT0650155,Myrmica latifrons,0.955,1.072,0.543,0.248,0.252,1.521
CASENT0907623,Myrmica latifrons,1.047,1.139,0.699,0.264,0.258,1.515
CASENT0907656,Myrmica latifrons,1.042,1.103,0.618,0.225,,1.571
Kallai_and_LaPolla_Nylanderia_trageri,Nylanderia trageri,0.517,0.583,0.317,0.157,0.135,0.677
CASENT0003317,Ochetellus glaber,0.519,0.559,0.21,0.14,0.123,0.661
CASENT0005175,Ochetellus glaber,0.495,0.562,0.221,0.135,0.137,0.678
