SPECIES,bins,size,Source
Pheidole metallescens,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole morrisii,,2500,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98., King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole navigans,,600,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole obscurithorax,,10000,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole pilifera,600-800,700,"Muscedere, Mario L., and James FA Traniello. ""Division of labor in the hyperdiverse ant genus Pheidole is associated with distinct subcaste-and age-related patterns of worker brain organization."" PLoS One 7.2 (2012): e31618."
Pheidole tetra,,,
Pheidole tysoni,,,
Pogonomyrmex badius,,2568,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pogonomyrmex badius,,4300,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pogonomyrmex badius,,4736,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pogonomyrmex badius,,4500,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Ponera exotica,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Ponera pennsylvanica,,7,Doug Booher Collection
Ponera pennsylvanica,,14,Doug Booher Collection
Ponera pennsylvanica,,5,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Prenolepis imparis,,1500,"Talbot, M. 1957b. Populations of ants in a Missouri woodland. Insectes Sociaux 4:375-384."
Prenolepis imparis,,3790,"Tschinkel, W. R. 1987. Insectes Soc. 34:143–164."
Prenolepis imparis,,1600,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Prenolepis imparis,,3370,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Proceratium chickasaw,,,
Proceratium crassicorne,,30,Antwiki
Proceratium croceum,,30,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
