Subfamily,Genus,Genus.Species,caste,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology
Dolichoderinae,Dorymyrmex,Dorymyrmex.grandulus,worker,1000,King,,Ground,Omnivore,Native,Monomorphic,rare
Dolichoderinae,Dorymyrmex,Dorymyrmex.reginicula,worker,1000,King,,Ground,Omnivore,Native,Monomorphic,"rare parasite, monodomous"
Dolichoderinae,Dorymyrmex,Dorymyrmex.sp.,worker,,,,,,,Monomorphic,
Myrmicinae,Eurhopalothrix,Eurhopalothrix.floridana,worker,100,Booher,less than 100 (personal info),Leaf Litter,Predator,Native,Monomorphic,
Dolichoderinae,Forelius,Forelius.pruinosus,worker,10000,King,,Ground,Omnivore,Native,Monomorphic,"Diurnal, polydomous, polygynous"
Formicinae,Formica,Formica.archboldi,worker,1210,Deyrup,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Formica,Formica.archboldi,worker,500,King,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Formica,Formica.archboldi,worker,493,King 2007,493 plus/minus 173,Ground,Omnivore,Native,Monomorphic,
Formicinae,Formica,Formica.biophilica,worker,,,,Ground,,Native,Monomorphic,
Formicinae,Formica,Formica.dolosa,worker,630,King 2007,630 plus minus 86,Ground,Omnivore,Native,Monomorphic,
Formicinae,Formica,Formica.pallidefulva,worker,424,King 2007,424 plus minus 30,Ground,Omnivore,Native,Monomorphic,
Formicinae,Formica,Formica.subsericea,worker,8916,Burchill,,Ground,Omnivore,Native,Monomorphic,
Ponerinae,Gnamptogenys,Gnamptogenys.triangularis,worker,100,Lattke 1990 in Deyrup,80-120,Ground,Predator,Native,Monomorphic,
Ponerinae,Hypoponera,Hypoponera.inexorata,worker,12,Burchill,reportedly less than 20,Mixed,Predator,Native,Monomorphic,
Ponerinae,Hypoponera,Hypoponera.inexorata,worker,50,King,reportedly less than 20,Mixed,Predator,Native,Monomorphic,
Ponerinae,Hypoponera,Hypoponera.opaciceps,worker,50,King,,Mixed,Predator,Nonnative,Monomorphic,
Ponerinae,Hypoponera,Hypoponera.opaciceps,worker,40,Van Pelt (1958),15-84 (avg:40),Mixed,Predator,Nonnative,Monomorphic,
Ponerinae,Hypoponera,Hypoponera.opacior,worker,50,King 2007,,Mixed,Predator,Native,Monomorphic,
Ponerinae,Hypoponera,Hypoponera.punctatissima,worker,,,,Mixed,Predator,Nonnative,Monomorphic,Polygyne and polydomous
Formicinae,Lasius,Lasius.americanus,worker,3000,Burchill,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Lasius,Lasius.interjectus,worker,,,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Lasius,Lasius.neoniger,worker,,Deyrup,Over 1000 including larvae,Ground,Omnivore,Native,Monomorphic,", monogynous"
Formicinae,Lasius,Lasius.umbratus,worker,3000,Burchill,,Ground,Omnivore,Native,Monomorphic,temp nest parasite
Ponerinae,Leptogenys,Leptogenys.manni,worker,,,,Ground,Predator,Native,Monomorphic,"Reproduction through fission, nocturnal"
Dolichoderinae,Linepithema,Linepithema.humile,worker,15000,Burchill,,Ground,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Monomorium,Monomorium.pharaonis,worker,800,Burchill,,Ground,Omnivore,Nonnative,Monomorphic,Budding reproduction
Myrmicinae,Monomorium,Monomorium.pharaonis,worker,2382,Burchill,,Ground,Omnivore,Nonnative,Monomorphic,Budding reproduction
Myrmicinae,Monomorium,Monomorium.sp.,worker,,,,,,,Monomorphic,
Myrmicinae,Monomorium,Monomorium.subcoecum,worker,,,,Ground,,Nonnative,Monomorphic,"Polygyne, (used syllophopsis subcoeca, but photos are bad)"
Myrmicinae,Monomorium,Monomorium.trageri,worker,,,,Mixed,Omnivore,Native,Monomorphic,Flightless queens
Myrmicinae,Monomorium,Monomorium.viridum,worker,10000,King,,Ground,Omnivore,Native,Monomorphic,"Polygyne, (only one set of phots)"
