Genus.Species,Caste,Image CASENT,Head_width,Head_length,Mandible_length,Eye length_1,Eye length_2,Weber_length
Crematogaster.vermiculata,worker,casent0923320,0.633,0.599,0.282,,0.154,0.742
Crematogaster.vermiculata,worker,casent0005673,0.9515,0.919,0.451,0.25,0.258,1.1035
Cryptopone.gilva,worker,casent0003325,0.799,0.875,0.474,,0.058,1.235
Cryptopone.gilva,worker,casent0103829,0.742,0.796,0.428,,0.03,1.086
Cryptopone.gilva,worker,casent0915270,0.675,0.725,0.411,,0.024,1.081
Cryptopone.gilva,worker,fmnhins0000050343,0.839,0.881,0.488,,0.051,1.252
Cryptopone.gilva,worker,casent0260410,0.689,0.753,0.27,0.035,0.033,1.062
Cyphomyrmex.minutus,worker,casent0173957,0.535,0.504,0.194,0.124,0.134,0.719
Cyphomyrmex.minutus,worker,casent0909378,0.618,0.688,0.347,0.173,0.169,1.055
Cyphomyrmex.minutus,worker,fmnhins0000062861,0.644,0.624,0.254,0.151,0.151,0.915
Cyphomyrmex.minutus,worker,casent0103832,0.699,0.687,0.105,0.141,0.143,0.991
Cyphomyrmex.rimosus,worker,casent0103839,0.694,0.687,0.332,0.174,0.187,1.114
Cyphomyrmex.rimosus,worker,casent0919614,0.568,0.535,0.188,0.125,0.133,0.823
Cyphomyrmex.rimosus,worker,fmnhins0000046091,0.709,0.742,0.323,,0.177,1.137
Cyphomyrmex.rimosus,worker,casent0923105,0.742,0.795,0.18,0.165,0.163,1.112
Discothyrea.testacea,worker,casent0004651,0.341,0.406,0.104,,0.024,0.449
Discothyrea.testacea,worker,casent0006058,0.354,0.433,0.143,,0.016,0.452
Discothyrea.testacea,worker,casent0270725,0.396,0.482,0.193,,0.025,0.503
Discothyrea.testacea,worker,casent0103847,0.406,0.511,0.0105,0.015,0.015,0.478
Dolichoderus.mariae,worker,casent0103850,0.81,0.904,0.377,0.236,0.236,1.215
Dolichoderus.mariae,worker,casent0909456,0.955,1.011,0.393,0.281,0.292,1.463
Dolichoderus.mariae,worker,fmnhins0000045063,0.872,0.956,0.399,0.231,0.25,1.326
Dolichoderus.mariae,worker,casent0003312,0.94,1.047,0.22,0.265,0.268,1.332
Dolichoderus.pustulatus,worker,casent0103855,0.871,0.95,0.379,0.27,0.253,1.207
Dolichoderus.pustulatus,worker,casent0249578,0.704,0.736,0.336,0.226,0.223,1.062
Dolichoderus.pustulatus,worker,fmnhins0000045072,0.755,0.833,0.325,0.231,0.223,1.184
Dolichoderus.pustulatus,worker,casent0902960,0.722,0.799,0.2075,0.238,0.247,1.166
Dorymyrmex.bossutus,worker,casent0103858,0.697,0.81,0.381,0.221,0.207,1.008
Dorymyrmex.bossutus,worker,casent0105876,0.5355,0.609,0.089,0.163,0.161,0.971
Dorymyrmex.bureni,worker,casent0249670,0.692,0.778,0.366,0.225,0.226,1.084
Dorymyrmex.bureni,worker,fmnhins0000062862,0.807,0.857,0.421,0.273,0.267,1.28
Dorymyrmex.bureni,worker,casent0103863,0.727,0.832,0.412,0.219,0.208,1.124
Dorymyrmex.bureni,worker,casent0281176,0.865,0.974,0.1385,0.252,0.253,1.315
Dorymyrmex.elegans,worker,casent0103876,0.675,0.846,0.438,0.221,0.227,1.42
Dorymyrmex.elegans,worker,casent0249671,0.65,0.807,0.417,0.219,0.218,1.406
Dorymyrmex.elegans,worker,casent0003314,0.688,0.863,0.1465,0.207,0.206,1.282
Dorymyrmex.flavopectus,worker,casent0103887,0.7305,0.874,0.1825,0.204,0.202,1.213
Dorymyrmex.grandulus,worker,casent0911036,0.688,0.816,0.414,0.225,0.218,1.156
Dorymyrmex.grandulus,worker,casent0103878,0.6135,0.76,0.1125,0.185,0.184,1.0775
Dorymyrmex.reginicula,worker,casent0103900,0.878,0.954,0.1295,0.262,0.268,1.303
Eurhopalothrix.floridana,worker,casent0006100,0.625,0.577,0.195,0.048,0.038,0.71
Eurhopalothrix.floridana,worker,casent0914898,0.655,0.597,0.206,0.043,0.042,0.74
Eurhopalothrix.floridana,worker,fmnhins0000047628,0.61,0.596,0.184,0.048,0.028,0.7
Eurhopalothrix.floridana,worker,casent0003195,0.607,0.557,0.143,0.041,0.04,0.654
Forelius.pruinosus,worker,casent0103912,0.512,0.585,0.268,0.144,0.148,0.782
Forelius.pruinosus,worker,casent0249696,0.623,0.654,0.356,0.168,0.163,0.931
Forelius.pruinosus,worker,casent0915583,0.606,0.687,0.353,0.145,0.141,0.792
Forelius.pruinosus,worker,fmnhins0000062863,0.515,0.594,0.286,0.145,0.138,0.741
Forelius.pruinosus,worker,casent0249695,0.489,0.57,0.059,0.126,0.126,0.7235
Formica.archboldi,worker,casent0103921,1.317,1.659,0.753,0.507,0.538,2.749
Formica.archboldi,worker,casent0105592,1.274,1.589,0.842,0.52,0.441,2.634
Formica.archboldi,worker,casent0104886,1.129,1.44,0.252,0.414,0.413,2.3745
Formica.biophilica,worker,casent0103945,1.347,1.759,0.766,0.468,0.458,2.601
Formica.biophilica,worker,casent0105556,1.281,1.656,0.712,0.457,0.552,3.339
Formica.biophilica,worker,casent0280343,1.192,1.5,0.776,0.441,0.366,2.426
Formica.biophilica,worker,casent0103499,1.133,1.456,0.1705,0.371,0.375,2.489
Formica.dolosa,worker,casent0179861,1.256,1.563,0.745,0.41,0.438,2.498
Formica.dolosa,worker,casent0911066,1.585,1.84,0.947,0.579,0.572,3.066
Formica.dolosa,worker,casent0103933,1.204,1.628,0.2315,0.424,0.427,2.8845
Formica.pallidefulva,worker,casent0103931,1.034,1.34,0.641,0.382,0.435,2.381
Formica.pallidefulva,worker,casent0905709,0.993,1.184,0.6,0.353,0.51,2.761
Formica.pallidefulva,worker,casent0915638,1.225,1.493,0.683,0.386,0.391,2.315
Formica.pallidefulva,worker,casent0103932,0.9835,1.259,0.164,0.354,0.349,2.086
Formica.subsericea,worker,casent0179853,1.33,1.526,0.679,0.485,0.513,2.27
Formica.subsericea,worker,casent0280362,1.609,1.849,0.827,0.589,0.59,2.676
Formica.subsericea,worker,casent0281180,1.685,1.896,0.818,0.577,0.6,2.798
Formica.subsericea,worker,casent0103942,1.378,1.648,0.172,0.513,0.508,2.502
Gnamptogenys.triangularis,worker,casent0179951,1.175,1.14,0.843,0.288,0.299,1.923
Gnamptogenys.triangularis,worker,casent0915109,1.132,1.165,0.724,0.314,0.312,1.939
Gnamptogenys.triangularis,worker,casent0907186,1.041,1.047,0.818,0.251,0.265,1.65
Gnamptogenys.triangularis,worker,casent0103948,0.9985,1.039,0.4135,0.235,0.234,1.8045
Hypoponera.inexorata,worker,casent0103956,0.621,0.693,0.367,,0.034,0.902
Hypoponera.inexorata,worker,casent0065779,0.53,0.642,0.318,,0.042,0.894
Hypoponera.inexorata,worker,casent0647600,0.99,1.045,0.608,,0.055,1.555
Hypoponera.inexorata,worker,fmnhins0000088658,0.626,0.696,0.386,,0.039,0.991
Hypoponera.inexorata,worker,casent0102904,0.6725,0.755,0.259,0.045,0.045,1.042
Hypoponera.opaciceps,worker,casent0103952,0.626,0.715,0.37,0.05,0.041,0.926
Hypoponera.opaciceps,worker,casent0104122,0.608,0.696,0.335,0.047,0.036,1.016
Hypoponera.opaciceps,worker,casent0246006,0.689,0.752,0.413,,0.019,1.071
Hypoponera.opaciceps,worker,casent0915870,0.644,0.731,0.332,0.047,0.049,1.049
Hypoponera.opaciceps,worker,casent0104663,0.66,0.761,0.22,0.042,0.043,1.0755
Hypoponera.opacior,worker,casent0103966,0.579,0.705,0.355,0.034,0.03,0.857
Hypoponera.opacior,worker,casent0907333,0.525,0.616,0.333,,0.03,0.98
Hypoponera.opacior,worker,fmnhins0000062864,0.502,0.584,0.309,,0.029,0.794
Hypoponera.opacior,worker,casent0102905,0.5145,0.622,0.172,0.027,0.026,0.816
