SPECIES,HW,HL,ML,EL,WL
Temnothorax pergandei,0.724,0.769,0.317,0.232,1.309
Temnothorax schaumii,0.724,0.857,0.425,0.215,1.084
Temnothorax smithi,1.099,1.103,0.465,0.283,1.664
Temnothorax texanus,0.675,0.71,0.343,NA,1.261
Temnothorax torrei,0.532,0.576,0.222,NA,0.911
Temnothorax tuscaloosae,NA,0.568,NA,NA,0.912
Tetramorium bicarinatum,0.96,1.049,0.536,NA,1.46
Tetramorium caldarium,0.478,0.536,0.254,NA,0.748
Tetramorium immigrans,1.046,1.041,0.491,0.2575,2.051
Tetramorium lanuginosum,0.682,0.724,0.359,0.1985,1.024
Tetramorium simillimum,0.558,0.596,0.292,0.1545,0.792
Tetramorium tsushimae,1.155,1.08,0.601,NA,1.91
Trachymyrmex jamaicensis,1.65,NA,NA,NA,2.03
Trachymyrmex septentrionalis,1.103,1.024,0.689,0.2435,1.847
Trichomyrmex destructor,0.741,0.808,0.415,0.225,1.73
Wasmannia auropunctata,0.821,0.73,0.334,NA,1.311
Xenomyrmex floridanus,0.599,0.741,0.276,0.189,1.249
