SPECIES,CASENT,HW,HL,ML,EL,WL
Colobopsis mississippiensis,CASENT0103356,1.032,1.225,0.362,0.273,1.356
Colobopsis mississippiensis,CASENT0103357,1.197,1.363,0.409,0.3155,1.551
Colobopsis mississippiensis,CASENT0105676,0.795,0.92,0.285,NA,1.149
Colobopsis mississippiensis,FMNHINS0000045811,1.19,1.299,0.444,0.3305,1.55
Colobopsis obliqua,CASENT0103722,1.015,1.162,0.37,0.282,1.304
Colobopsis obliqua,CASENT0103723,0.754,0.855,0.269,0.226,1.071
Colobopsis obliqua,CASENT0105585,1.053,1.22,0.463,0.2955,1.241
Colobopsis riehlii,fmnhins0000088682,0.967,1.063,0.355,0.2945,1.366
Colobopsis riehlii,casent0103727,0.994,1.095,0.324,0.3025,1.406
Colobopsis riehlii,casent0103728,0.875,0.947,0.31,0.511,1.141
Colobopsis riehlii,casent0914449,0.792,0.861,0.271,0.2475,1.2
Colobopsis riehlii,casent0914448,1.166,1.305,0.44,0.3325,1.477
Colobopsis riehlii,casent0103726,1.155,1.178,0.322,0.3375,1.7
Colobopsis riehlii,fmnhins0000088669,0.8535,0.92,0.069,0.2355,1.147
Crematogaster ashmeadi,casent0103765,0.8,0.707,0.328,0.1765,0.822
Crematogaster ashmeadi,casent0919694,0.846,0.745,0.353,0.1885,0.907
Crematogaster ashmeadi,casent0922720,0.776,0.711,0.34,0.1705,0.877
Crematogaster ashmeadi,focol1506-1,0.799,0.73,0.294,0.1955,0.872
Crematogaster ashmeadi,ent00669688,0.767,0.745,0.109,0.178,0.8635
Crematogaster atkinsoni,casent0103768,0.93,0.874,0.415,0.221,1.09
Crematogaster atkinsoni,casent0901443,0.673,0.661,0.342,0.1485,0.854
Crematogaster atkinsoni,casent0914490,1.126,0.957,0.478,0.2365,1.283
Crematogaster atkinsoni,casent0922730,0.921,0.856,0.426,0.2075,1.097
Crematogaster atkinsoni,casent0103770,0.95,0.941,0.103,0.2085,0.985
Crematogaster cerasi,casent0103776,0.868,0.811,0.39,0.207,0.905
Crematogaster cerasi,casent0179856,0.897,0.854,0.428,0.2185,1.002
Crematogaster cerasi,usnment00529078,0.843,0.766,0.368,0.1915,0.962
Crematogaster cerasi,casent0922725,0.993,0.951,0.1295,0.216,1.141
Crematogaster laeviuscula,CASENT0005669,0.994,0.928,0.437,0.233,1.139
Crematogaster laeviuscula,CASENT0103770,0.976,0.926,0.452,0.2095,1.019
