SPECIES,CASENT,HW,HL,ML,EL,WL
Temnothorax duloticus,ANTWEB1008479,0.578,0.664,0.303,0.1585,0.872
Temnothorax duloticus,CASENT0103163,0.466,0.578,0.227,0.1425,0.828
Temnothorax duloticus,CASENT0105626,0.623,0.702,0.293,0.1675,0.861
Temnothorax longispinosus,CASENT0105559,0.564,0.626,0.293,0.13,0.725
Temnothorax longispinosus,CASENT0914508,0.512,0.584,0.271,0.2035,1.462
Temnothorax minutissimus,CASENT0105621,0.567,0.68,0.288,NA,0.744
Temnothorax palustris,casent0104045,0.503,0.648,0.086,0.124,0.773
Temnothorax pergandei,casent0104016,0.627,0.727,0.327,0.169,0.922
Temnothorax pergandei,casent0104027,0.591,0.678,0.341,0.15,0.972
Temnothorax pergandei,casent0172994,0.669,0.742,0.342,0.1765,0.992
Temnothorax pergandei,casent0904768,0.609,0.703,0.347,0.1655,0.967
Temnothorax pergandei,fmnhins0000088653,0.591,0.687,0.364,0.1675,0.949
Temnothorax pergandei,casent0102842,0.6175,0.733,0.1035,0.1805,0.9465
Temnothorax schaumii,casent0104050,0.641,0.718,0.285,0.163,0.874
Temnothorax schaumii,casent0909059,0.622,0.708,0.308,0.152,0.843
Temnothorax schaumii,casent0919745,0.486,0.541,0.215,0.1175,0.666
Temnothorax schaumii,casent0104047,0.4515,0.573,0.0635,0.1195,0.7725
Temnothorax smithi,casent0105866,0.929,0.987,0.47,0.1745,1.143
Temnothorax smithi,casent0104053,0.887,1.017,0.119,0.169,1.033
Temnothorax texanus,casent0923379,0.466,0.571,0.281,0.1305,0.725
Temnothorax texanus,casent0104063,0.4325,0.572,0.08,0.116,0.728
Temnothorax torrei,casent0104057,0.394,0.498,0.197,0.109,0.604
Temnothorax torrei,casent0104776,0.352,0.47,0.176,0.095,0.484
Temnothorax torrei,mczent00016562,0.413,0.523,0.205,0.1045,0.552
Temnothorax torrei,mczent00583611,0.416,0.515,0.197,0.1105,0.561
Temnothorax torrei,fmnhins0000088654,0.407,0.51,0.0375,0.1025,0.5405
Temnothorax tuscaloosae,CASENT0105628,0.455,0.524,0.231,0.1145,0.623
Temnothorax tuscaloosae,CASENT0172600,0.451,0.543,0.25,NA,0.617
Tetramorium bicarinatum,casent0059100,0.783,0.875,0.452,0.218,1.215
Tetramorium bicarinatum,casent0060334,0.803,0.919,0.465,0.221,1.156
Tetramorium bicarinatum,casent0102737,0.894,0.996,0.505,0.2385,1.26
Tetramorium bicarinatum,casent0171032,0.727,0.82,0.406,0.2135,1.068
Tetramorium bicarinatum,casent0005826,0.735,0.862,0.183,0.2085,1.0515
Tetramorium caldarium,casent0102738,0.462,0.551,0.284,0.1225,0.608
Tetramorium caldarium,casent0125225,0.488,0.534,0.274,NA,0.693
Tetramorium caldarium,casent0171084,0.459,0.527,0.254,0.1245,0.645
Tetramorium caldarium,fmnhins0000078518,0.465,0.521,0.247,0.115,0.627
Tetramorium caldarium,casent0102333,0.453,0.506,0.107,0.1085,0.6595
Tetramorium immigrans,CASENT0005827,0.516,0.553,0.264,0.142,1.205
Tetramorium immigrans,CASENT0106026,0.913,0.952,0.515,0.1875,1.261
Tetramorium immigrans,CASENT0913997,0.774,0.86,0.458,0.181,1.158
Tetramorium lanuginosum,casent0102740,0.592,0.65,0.333,NA,0.755
Tetramorium lanuginosum,casent0171128,0.633,0.651,0.332,0.15,0.749
Tetramorium lanuginosum,casent0173289,0.618,0.67,0.363,NA,0.67
Tetramorium lanuginosum,casent0909094,0.598,0.634,0.323,NA,0.727
Tetramorium lanuginosum,fmnhins0000088655,0.5685,0.631,1.2685,0.123,0.7285
Tetramorium simillimum,casent0102742,0.488,0.541,0.27,0.108,0.606
Tetramorium simillimum,casent0102937,0.518,0.557,0.277,0.1055,0.628
Tetramorium simillimum,casent0171034,0.466,0.514,0.245,0.1045,0.601
Tetramorium simillimum,fmnhins0000088656,0.498,0.561,0.276,0.1155,0.627
Tetramorium simillimum,casent0102390,0.469,0.519,0.1185,0.1,0.671
Tetramorium tsushimae,CASENT0103102,0.613,0.696,0.388,0.14,0.866
Tetramorium tsushimae,CASENT0901253,0.786,0.838,0.419,0.1735,1.004
Tetramorium tsushimae,CASENT0904809,0.654,0.693,0.369,0.1325,0.843
Tetramorium tsushimae,CASENT0915089,0.766,0.836,0.48,0.158,1.08
Tetramorium tsushimae,CASENT0915090,0.741,0.775,0.383,NA,1.077
Trachymyrmex jamaicensis,casent0102743,1.389,1.168,0.669,0.2605,2.135
Trachymyrmex jamaicensis,casent0909393,1.501,1.259,0.92,0.3095,2.186
Trachymyrmex jamaicensis,casent0912523,1.541,1.347,0.94,0.3,2.479
Trachymyrmex jamaicensis,casent0919971,1.319,1.158,0.4185,0.23,1.9805
Trachymyrmex septentrionalis,casent0003337,0.988,0.969,0.558,0.1775,1.389
Trachymyrmex septentrionalis,casent0919975,1.0305,0.944,0.31,0.164,1.507
Trichomyrmex destructor,CASENT0073621,0.47,0.537,NA,NA,0.654
Trichomyrmex destructor,CASENT0104076,0.435,0.525,0.234,0.0935,0.722
Trichomyrmex destructor,CASENT0125190,0.464,0.59,0.253,0.0885,0.654
Trichomyrmex destructor,CASENT0171070,0.596,0.655,0.316,0.102,0.77
Trichomyrmex destructor,CASENT0246070,0.536,0.622,0.242,0.1,0.736
Wasmannia auropunctata,casent0005064,0.399,0.435,NA,NA,0.465
Wasmannia auropunctata,casent0005665,0.383,0.407,0.192,NA,0.448
Wasmannia auropunctata,casent0039797,0.413,0.457,0.201,0.1045,0.496
Wasmannia auropunctata,casent0909212,0.365,0.405,0.184,0.091,0.447
Wasmannia auropunctata,casent0097874,0.399,0.423,0.198,0.1075,0.487
Wasmannia auropunctata,casent0097874,0.3945,0.425,0.0795,0.082,0.4795
Xenomyrmex floridanus,casent0000499,0.428,0.481,0.162,0.0915,0.539
Xenomyrmex floridanus,casent0104541,0.466,0.544,0.205,0.0945,0.61
Xenomyrmex floridanus,casent0106053,0.411,0.475,0.174,0.0965,0.548
Xenomyrmex floridanus,casent0904614,0.429,0.484,0.201,0.094,0.576
Xenomyrmex floridanus,fmnhins0000078519,0.416,0.47,0.06,0.0725,0.578
